sexo;Edad;¿Eres estudiante?;¿De qué área eres?; ¿Has sentido empatía hacia Pepper?;¿Has sentido Pepper como un fake?;¿Te has sentido cómodo hablando con Pepper?;¿Te ha parecido que el grado del movimiento de Pepper ha sido el adecuado?;¿Te parece que Pepper ha logrado mantener el contacto contigo?; ¿Has sentido Pepper como humano?; ¿Has sentido Pepper como un ser vivo?; ¿Has sentido Pepper amigable?; ¿Has sentido Pepper interactivo?;¿Has sentido Pepper mecánico?;¿Has sentido Pepper antipático?;¿Has sentido que Peeper ha mostrado empatía contigo?;¿Te has sentido a gusto durante la sesión?;¿Te has sentido seguro interactuando con Pepper?;¿La proximidad física durante la interacción con Pepper te ha parecido adecuada?;¿Qué te gustó más de la sesión?;¿Qué cambiarías de la sesión?;Durante tu interacción con Pepper ¿Cómo te sentiste?
Masculino;21 to 25;Si;Arquitectura, Ingeniería y Diseño;Un poco;Algo;Bastante;Un poco;Algo;Un poco;Un poco;Bastante;Un poco;Algo;Un poco;Un poco;Bastante;Bastante;Bastante;Las frases y el ritmo son acertados;Sus manos se mantienen en una pequeña tension con los dedos y da un poco de respeto.No responde bien ante frases complejas. La risa es rara y exagerada.;Bien, se nota un poco artificial y en todo momento dirige el la conversación, pero se hace entretenido y curioso2anonymous
Masculino;> 40;No;Actividad física y deporte;Bastante;Bastante;Bastante;Mucho;Bastante;Bastante;Bastante;Mucho;Bastante;Bastante;Bastante;Bastante;Mucho;Bastante;Bastante;Todo ha estado muy gracioso;Metería más preguntas con el robot;Tranquilo y divertido
Femenino;21 to 25;Si;Ciencias Biomédicas y de la Salud;Bastante;Algo;Bastante;Mucho;Bastante;Un poco;Un poco;Bastante;Bastante;Un poco;Bastante;Bastante;Mucho;Bastante;Bastante;El movimineto de pepper ;Nada;Muy comodo, ha sido muy interactivo
Femenino;18 to 20;Si;Ciencias Biomédicas y de la Salud;Bastante;Nada;Mucho;Mucho;Bastante;Mucho;Bastante;Mucho;Mucho;Un poco;Mucho;Mucho;Mucho;Mucho;Mucho;Como habla contigo y te responde tal cual a lo que le dices ;Nada , me ha parecido muy correcta ;Mu agusto
Femenino;21 to 25;Si;Ciencias Biomédicas y de la Salud;Algo;Algo;Nada;Bastante;Bastante;Nada;Nada;Mucho;Mucho;Mucho;Mucho;Mucho;Un poco;Nada;Algo;que no siempre se puede hablar con un robot;nada, se ve bien;Rara
Femenino;18 to 20;Si;Ciencias Biomédicas y de la Salud;Mucho;Nada;Mucho;Mucho;Mucho;Bastante;Mucho;Mucho;Mucho;Un poco;Mucho;Mucho;Mucho;Mucho;Mucho;La manera de reirse y como hace amagues de acercarse, me daban ganas de abrazarle;Nada;Muy comoda, era muy gracioso y tierno, me causaba mucha alegria
Femenino;21 to 25;Si;Ciencias Biomédicas y de la Salud;Bastante;Nada;Mucho;Algo;Mucho;Algo;Algo;Mucho;Mucho;Un poco;Mucho;Mucho;Mucho;Mucho;Mucho;Sus chistes ;Nada ;Un poco nerviosa al principio, pero luego el hizo que me sintiera mas comoda
Femenino;21 to 25;Si;Ciencias Biomédicas y de la Salud;Bastante;Nada;Bastante;Algo;Bastante;Algo;Un poco;Mucho;Mucho;Un poco;Bastante;Bastante;Mucho;Bastante;Bastante;La novedad de conocer un robot ;Poder entablar mas un conversación larga y lineal;"Bastante comoda y ""feliz"""
Femenino;> 40;No;Ciencias Biomédicas y de la Salud;Un poco;Algo;Bastante;Bastante;Bastante;Nada;Nada;Bastante;Algo;Bastante;Un poco;Un poco;Mucho;Mucho;Mucho;Su originalidad;Nada;Muy divertida
Masculino;18 to 20;Si;Ciencias Biomédicas y de la Salud;Bastante;Un poco;Algo;Bastante;Algo;Nada;Nada;Mucho;Mucho;Bastante;Un poco;Un poco;Algo;Algo;Algo;La posibilidad de hablar con un robot;No cambiaria nada la verdad. Durante una conversacion de 5 minuntos me ah parcido que es una conversacion adecuada;Me he sentido un poco incomodo en algun momento ya que no sientes que estas hablando con una persona humana
Femenino;18 to 20;Si;Ciencias Biomédicas y de la Salud;Mucho;Un poco;Mucho;Mucho;Mucho;Bastante;Bastante;Mucho;Mucho;Algo;Mucho;Mucho;Mucho;Mucho;Bastante;Que fuera tan amigable y gracioso;La voz, que fuera menos robotica;Muy a gusto
Femenino;18 to 20;Si;Ciencias Biomédicas y de la Salud;Algo;Algo;Mucho;Mucho;Bastante;Bastante;Bastante;Mucho;Mucho;Algo;Mucho;Mucho;Mucho;Mucho;Mucho;Lo real que puede llegar a ser una conversación con un robot;Nada, me ha parecido todo adecuado;Bastante cómoda y una conversación muy fluida
Masculino;18 to 20;Si;Ciencias Biomédicas y de la Salud;Bastante;Un poco;Algo;Bastante;Mucho;Un poco;Nada;Mucho;Mucho;Mucho;Nada;Nada;Mucho;Mucho;Mucho;Las respuestas graciosas;Poder preguntar;Bien
Femenino;18 to 20;Si;Ciencias Biomédicas y de la Salud;Bastante;Algo;Bastante;Bastante;Algo;Algo;Algo;Mucho;Bastante;Un poco;Bastante;Bastante;Bastante;Mucho;Bastante;Conocer como los robots pueden interactuar con nosotros;La comprensión del robot. No entendio bien mi nombre. ;Muy comoda
Masculino;36 to 40;No;Arquitectura, Ingeniería y Diseño;Bastante;Un poco;Bastante;Un poco;Bastante;Algo;Algo;Bastante;Bastante;Bastante;Bastante;Bastante;Bastante;Bastante;Bastante;El tono de voz;Nada;Comodo
Masculino;18 to 20;Si;Arquitectura, Ingeniería y Diseño;Algo;Un poco;Bastante;Mucho;Mucho;Un poco;Un poco;Mucho;Bastante;Bastante;Un poco;Un poco;Bastante;Mucho;Mucho;La adivinanza;Que pudiera hacer un selfie de verdad;Cómodo
Femenino;18 to 20;Si;Arquitectura, Ingeniería y Diseño;Un poco;Bastante;Mucho;Bastante;Bastante;Nada;Nada;Mucho;Mucho;Bastante;Un poco;Un poco;Mucho;Nada;Bastante;Hablar con un robot;Nada;Muy comoda
Femenino;26 to 30;No;Ciencias Sociales y de la Comunicación;Bastante;Nada;Bastante;Mucho;Mucho;Bastante;Bastante;Mucho;Bastante;Un poco;Mucho;Mucho;Mucho;Mucho;Mucho;La risa de Pepper;Nada;Muy cómoda
Femenino;> 40;No;Arquitectura, Ingeniería y Diseño;Bastante;Un poco;Mucho;Bastante;Bastante;Bastante;Algo;Bastante;Mucho;Un poco;Bastante;Bastante;Mucho;Mucho;Mucho;La facilidad para establecer un dialogo;"Que pregunte estudias o trabajas y que añada a su vocabulario expresiones como ""ya veo"" o ""interesante""";Muy comoda
Femenino;36 to 40;No;Ciencias Biomédicas y de la Salud;Bastante;Un poco;Bastante;Algo;Algo;Nada;Nada;Algo;Algo;Bastante;Algo;Algo;Bastante;Bastante;Algo;Hablar con un robot y esperar sus preguntas y respuestas;Me parece que ha estado bien;Expectante
Femenino;18 to 20;Si;Ciencias Sociales y de la Comunicación;Bastante;Un poco;Mucho;Bastante;Mucho;Bastante;Mucho;Mucho;Bastante;Un poco;Bastante;Bastante;Mucho;Mucho;Algo;Las facilidad para preguntar y responder todo que decía.;Tal vez poder preguntarle algo;Muy bien, fue bastante curioso.
Masculino;21 to 25;Si;Arquitectura, Ingeniería y Diseño;Mucho;Un poco;Bastante;Bastante;Bastante;Algo;Un poco;Bastante;Bastante;Algo;Bastante;Bastante;Mucho;Bastante;Bastante;La adivinanza de Pebels, que me confundio con mi dia a dia y falle del tiron.;Estaba muy bien asi que nada en principio;Comodo, empatizando con una maquina que me parece increible.
Femenino;> 40;No;Ciencias Biomédicas y de la Salud;Nada;Mucho;Nada;Algo;Algo;Nada;Nada;Algo;Bastante;Mucho;Nada;Nada;Bastante;Nada;Bastante;El aire acondicionado;Nada;Indiferente
Femenino;18 to 20;Si;Arquitectura, Ingeniería y Diseño;Mucho;Un poco;Mucho;Bastante;Algo;Nada;Nada;Un poco;Algo;Mucho;Bastante;Bastante;Algo;Bastante;Algo;La empatia y su manera de mostrar;Un poco de esperar y escuchar antes de responder porque la velocidad es un poco rápido ;Me sentí segura
Femenino;> 40;No;Arquitectura, Ingeniería y Diseño;Nada;Un poco;Algo;Un poco;Algo;Un poco;Nada;Bastante;Bastante;Algo;Un poco;Un poco;Bastante;Bastante;Bastante;La posibilidad de descubrir cómo interacciona el robot.;Hay momentos en que el tiempo que transcurre entre que terminas de hablar y Pepper responde son demasiado largos y da sensación de que se va a bloquear.;Un poco incómoda, no había conexión.
Masculino;21 to 25;Si;Ciencias Sociales y de la Comunicación;Mucho;Un poco;Bastante;Algo;Bastante;Un poco;Algo;Bastante;Mucho;Algo;Mucho;Mucho;Bastante;Bastante;Algo;Me ha parecido muy interesante que me respetase al completo mi turno para hablar y que las respuestas que me daban eran bastante naturales.;En general no cambiaría nada me parece una charla bastante comoda y que se puede sobrellevar bastante bien y el final que me de la oportunidad para hacer un selfieme ha parecido un detallazo así que en lo general no cambiaría prácticamente nada.;Al principio algo incómodo pero porque no estoy acostumbrado a hablar con un robot pero ha medida que la charla se iba desarrollando me ha parecido una charla bastante curiosa, divertida y en lo general me he sentido cómodo en paracticamente toda la entrevista con el robot.
Masculino;21 to 25;Si;Ciencias Sociales y de la Comunicación;Un poco;Mucho;Un poco;Algo;Un poco;Nada;Nada;Un poco;Un poco;Mucho;Nada;Nada;Algo;Algo;Algo;La voz;No es capaz de responder preguntas ;Bien, me he rejdo
Masculino;21 to 25;Si;Ciencias Sociales y de la Comunicación;Bastante;Algo;Algo;Bastante;Bastante;Un poco;Algo;Bastante;Mucho;Algo;Bastante;Bastante;Bastante;Algo;Algo;Los chistes y los movimientos ;Quizá las respuestas de pepper para que nos hable más acerca de él;Me he sentido un poco extraño al principio pero luego he cogido confianza
Masculino;21 to 25;Si;Ciencias Sociales y de la Comunicación;Bastante;Algo;Bastante;Bastante;Bastante;Un poco;Un poco;Algo;Algo;Algo;Un poco;Un poco;Bastante;Algo;Un poco;La conversación ;Nada;genial
Masculino;21 to 25;Si;Ciencias Sociales y de la Comunicación;Mucho;Un poco;Mucho;Mucho;Mucho;Bastante;Bastante;Mucho;Un poco;Algo;Bastante;Bastante;Mucho;Mucho;Bastante;Los chistes;Nada;Muy comodo
Femenino;18 to 20;Si;Ciencias Sociales y de la Comunicación;Algo;Algo;Mucho;Bastante;Bastante;Algo;Un poco;Bastante;Algo;Algo;Algo;Algo;Bastante;Bastante;Mucho;Hablar con el;Los movimientos del robot;agusto
Femenino;18 to 20;Si;Ciencias Sociales y de la Comunicación;Mucho;Nada;Mucho;Bastante;Mucho;Mucho;Mucho;Mucho;Mucho;Nada;Mucho;Mucho;Mucho;Mucho;Mucho;La interaccion que ha habido durante la conversacion ;Desde mi punto de vista no cambiaria nada ;Me sentí bastante bien y a la vez escuchada
Femenino;18 to 20;Si;Ciencias Sociales y de la Comunicación;Bastante;Algo;Algo;Algo;Algo;Algo;Un poco;Bastante;Bastante;Algo;Bastante;Bastante;Algo;Algo;Bastante;El poder probar hablar con un robot por primera vez y el ver como es;Nada;Bien es muy simpatico
Femenino;18 to 20;Si;Ciencias Sociales y de la Comunicación;Mucho;Nada;Mucho;Bastante;Mucho;Un poco;Un poco;Bastante;Bastante;Mucho;Mucho;Mucho;Un poco;Mucho;Mucho;Haber hablado con un robot;Nada;bien
Femenino;18 to 20;Si;Actividad física y deporte;Mucho;Nada;Mucho;Mucho;Mucho;Un poco;Mucho;Mucho;Algo;Algo;Nada;Nada;Mucho;Mucho;Mucho;Que es muy simpatico;Nada;muy bien
Femenino;18 to 20;Si;Ciencias Sociales y de la Comunicación;Bastante;Nada;Bastante;Bastante;Mucho;Bastante;Bastante;Algo;Bastante;Algo;Bastante;Bastante;Bastante;Bastante;Bastante;Hablar con pepper;Nada;muy comoda
